time,rpm,load,temp,short_term_fuel_trim_1,long_term_fuel_trim_1,short_term_fuel_trim_2,long_term_fuel_trim_2,speed,timing_advance,intake_air_temp,maf
1441802749,1794.5,38.03921569,98,1.5625,0,3.90625,0,91,33.5,15,13.62
1441802751,1757.25,47.05882353,98,3.125,0,-0.78125,0.78125,91,28.5,15,25.35
1441802753,1772.25,71.76470588,98,5.46875,0.78125,BADDATA,0.78125,93,29,15,20.43
1441802755,1801.75,47.84313725,97,-1.5625,0.78125,3.90625,0.78125,94,30,15,23.42
1441802757,1822.75,75.29411765,97,2.34375,0.78125,0,0.78125,95,34,16,12.45
1441802759,1826.75,52.15686275,97,-1.5625,0.78125,-2.34375,0.78125,95,32,15,13.56
1441802761,1823.25,37.25490196,97,1.5625,0,3.125,0.78125,95,29.5,15,18.88
1441802762,1832.75,38.43137255,97,0,0,1.5625,0,94,31,15,10.79
1441802764,1803,32.54901961,97,-3.125,0,-0.78125,0,93,30.5,15,10.74
1441802766,1773.5,31.37254902,97,-1.5625,0,BADDATA,0,91,30.5,15,18.77
1441802768,1836,49.80392157,97,3.125,0.78125,4.6875,0.78125,92,BADDATA,15,19.71
1441802770,1769.75,43.52941176,97,3.125,0.78125,-1.5625,0.78125,92,25,15,20.65
1441802772,1779.75,42.35294118,BADDATA,3.125,0,3.125,BADDATA,92,31.5,BADDATA,11.35
1441802774,1758.5,33.7254902,97,-2.34375,0,0,0,91,30.5,15,10.85
